"","INSTNM","CONTROL","TUITFTE","INEXPFTE","C150_4_WHITE","C150_4_HISP","gap_completion_white_hispanic"
"1045","Harrington College of Design",3,22880,9866,0.527,0.2105,0.600569259962049
"1049","University of Illinois at Chicago",1,11629,26053,0.6205,0.5607,0.0963738920225626
"1050","Benedictine University",2,11503,6646,0.5563,0.3696,0.335610282221823
"1052","University of Illinois at Urbana-Champaign",1,13826,13924,0.8723,0.7996,0.0833428866215751
"1053","Illinois Wesleyan University",2,19599,16167,0.8197,0.5556,0.322191045504453
"1055","Illinois College",2,10823,9587,0.7868,0.8,-0.0167768174885612
"1057","Illinois Institute of Technology",2,19025,12262,0.7071,0.66,0.0666100975816715
"1058","Argosy University-Chicago",3,15944,6177,0.6667,1,-0.499925003749813
"1059","Illinois State University",1,9747,9858,0.734,0.6275,0.145095367847412
"1062","Sanford-Brown College-Chicago",3,22630,12669,0.2951,0.16,0.457810911555405
"1067","Judson University",2,12053,6450,0.4577,0.6154,-0.344548831112082
"1070","Kendall College",3,12262,5216,0.383,0.1818,0.52532637075718
"1072","Knox College",2,17731,12518,0.8446,0.7727,0.0851290551740468
"1075","Lake Forest College",2,16234,10279,0.7165,0.7143,0.00307048150732726
"1080","Lewis University",2,15308,8524,0.7011,0.4902,0.300813008130081
"1081","Lincoln Christian University",2,10643,5688,0.6429,0.4,0.377819256494011
"1082","Lincoln College",2,8493,3991,0.4167,0.0909,0.781857451403888
"1085","Loyola University Chicago",2,22878,11731,0.7508,0.6837,0.0893713372402771
"1091","MacMurray College",2,13288,6867,0.3559,0.6667,-0.873279010958134
"1094","McKendree University",2,10436,5719,0.5921,0.2857,0.517480155379159
"1098","Millikin University",2,12366,8907,0.6469,0.6667,-0.0306075127531302
"1099","Monmouth College",2,12603,10582,0.6113,0.3333,0.454768526091935
"1100","Moody Bible Institute",2,6569,8542,0.8632,0.8333,0.0346385542168674
"1108","North Central College",2,17001,8701,0.6516,0.4643,0.287446286065071
"1109","North Park University",2,16597,6923,0.6082,0.3922,0.355146333442946
"1111","Northern Illinois University",1,7274,12837,0.5946,0.4402,0.259670366633031
"1113","Northwestern University",2,28395,37339,0.9417,0.8851,0.0601040671126686
"1114","Northeastern Illinois University",1,6379,12341,0.2862,0.1748,0.389238294898672
"1117","Olivet Nazarene University",2,11572,4911,0.598,0.3667,0.386789297658863
"1122","Quincy University",2,9091,5645,0.5511,0.4,0.274178914897478
"1124","The Illinois Institute of Art-Chicago",3,15158,6246,0.4375,0.4286,0.0203428571428572
"1127","Robert Morris University Illinois",2,17166,5317,0.6103,0.5862,0.0394887760117973
"1130","Rockford University",2,13790,6256,0.494,0.6667,-0.349595141700405
"1131","Roosevelt University",2,19997,10315,0.3648,0.2639,0.276589912280702
"1132","Dominican University",2,15213,10312,0.6838,0.6098,0.108218777420298
"1135","University of St Francis",2,13711,5821,0.6063,0.5,0.1753257463302
"1137","Saint Xavier University",2,14676,8417,0.6564,0.3723,0.432815356489945
"1138","University of Illinois at Springfield",1,6750,10299,0.5667,0.2381,0.579848244220928
"1150","Southern Illinois University-Carbondale",1,8434,15675,0.5167,0.4091,0.20824462937875
"1151","Southern Illinois University-Edwardsville",1,7872,12666,0.5375,0.4167,0.224744186046512
"1156","Trinity Christian College",2,15660,10457,0.6158,0.7778,-0.263072426112374
"1160","VanderCook College of Music",2,13742,5930,0.7727,1,-0.294163323411414
"1163","Western Illinois University",1,6747,11581,0.561,0.5094,0.0919786096256686
"1164","Wheaton College",2,19517,13157,0.8968,0.8421,0.0609946476360393
"1167","Anderson University",2,12546,8594,0.6468,0.5714,0.116573902288188
"1169","Ball State University",1,7522,10219,0.6205,0.5176,0.165834004834811
"1170","Bethel College-Indiana",2,13390,7865,0.7638,0.7143,0.0648075412411626
"1171","Butler University",2,21007,13481,0.7906,0.7143,0.0965089805211231
"1172","Calumet College of Saint Joseph",2,12933,5384,0.2698,0.2143,0.205707931801334
"1177","DePauw University",2,17231,18608,0.7918,0.75,0.0527911088658752
"1180","Earlham College",2,14123,21481,0.7233,0.5556,0.231854002488594
"1181","University of Evansville",2,13541,10614,0.6449,0.5294,0.179097534501473
"1182","Franklin College",2,13013,9207,0.6186,0.5,0.191723246039444
"1183","Goshen College",2,14638,11031,0.7252,0.6875,0.0519856591285162
"1184","Grace College and Theological Seminary",2,7353,6263,0.6482,0.5556,0.142857142857143
"1187","Hanover College",2,11161,11611,0.6929,0.625,0.0979939385192668
"1189","Holy Cross College",2,12635,5319,0.3289,0.3636,-0.105503192459714
"1191","Huntington University",2,11041,9279,0.5823,0.75,-0.287995878413189
"1193","Indiana University-Purdue University-Fort Wayne",1,5643,7804,0.2714,0.3333,-0.228076639646279
"1194","Indiana University-Purdue University-Indianapolis",1,10593,15469,0.4297,0.4375,-0.0181521992087502
"1195","Harrison College-Indianapolis",3,16098,4458,0.5714,1,-0.750087504375219
"1196","University of Indianapolis",2,13502,8185,0.5712,0.55,0.0371148459383753
"1197","Indiana Institute of Technology",2,6364,3392,0.675,0.75,-0.111111111111111
"1198","University of Southern Indiana",1,5288,6024,0.4287,0.2703,0.369489153254024
"1199","Indiana State University",1,5726,7289,0.4356,0.3,0.31129476584022
"1200","Indiana University-Kokomo",1,4931,5500,0.2876,0.25,0.130737134909597
"1201","Indiana University-South Bend",1,5284,7553,0.2675,0.283,-0.0579439252336447
"1202","Indiana University-Bloomington",1,16449,13730,0.791,0.696,0.120101137800253
"1203","Indiana University-Northwest",1,5147,6340,0.3244,0.2931,0.0964858199753391
"1204","Indiana University-Southeast",1,5274,6754,0.3329,0.2857,0.1417843196155
"1206","International Business College-Fort Wayne",3,14080,4142,0.7597,0.4444,0.4150322495722
"1210","ITT Technical Institute-Indianapolis",3,15197,2310,0.2444,0.25,-0.0229132569558101
"1214","Brown Mackie College-Merrillville",3,10744,3130,0.5085,0.4211,0.171878072763028
"1215","Brown Mackie College-Michigan City",3,9617,3991,0.25,0.3333,-0.3332
"1218","Manchester University",2,12621,8996,0.5607,0.4167,0.256821829855538
"1219","Marian University",2,15868,12364,0.5534,0.3333,0.397723165883628
"1220","Indiana Wesleyan University-Marion",2,9769,3941,0.6484,0.5854,0.0971622455274521
"1225","Brown Mackie College-South Bend",3,10853,4582,0.3571,0.3,0.159899187902548
"1228","University of Notre Dame",2,22629,26632,0.9617,0.974,-0.0127898513049807
"1231","Purdue University-Calumet Campus",1,7138,7768,0.3631,0.3542,0.0245111539520792
"1232","Purdue University-North Central Campus",1,4856,5080,0.2488,0.0789,0.682877813504823
"1235","Rose-Hulman Institute of Technology",2,23137,20942,0.747,0.2727,0.634939759036145
"1237","University of Saint Francis-Fort Wayne",2,14158,7011,0.5606,0.3571,0.36300392436675
"1238","Saint Josephs College",2,7930,6227,0.4915,0.5882,-0.196744659206511
"1239","Saint Mary-of-the-Woods College",2,12408,10603,0.4051,1,-1.46852628980499
"1240","Saint Mary's College",2,17442,14546,0.8225,0.7714,0.0621276595744681
"1244","Taylor University",2,16781,10270,0.7463,0.8182,-0.0963419536379473
"1245","Trine University",2,14191,7598,0.5788,0.2857,0.506392536281963
"1246","Valparaiso University",2,17219,10528,0.7122,0.5833,0.18098848638023
"1248","Vincennes University",1,2869,5454,0.2753,0.0625,0.772974936432982
"1249","Wabash College",2,15784,15009,0.7857,0.3636,0.537227949599084
"1251","AIB College of Business",2,8658,3604,0.5648,0.4,0.291784702549575
"1252","Briar Cliff University",2,12414,6604,0.4901,0.3182,0.35074474597021
"1253","Buena Vista University",2,10990,7185,0.4789,0.3636,0.24076007517227
"1257","Central College",2,15272,13075,0.6923,0.6667,0.0369781886465406
"1258","Clarke University",2,16331,8648,0.7838,0.6,0.23449859658076
"1259","Coe College",2,12992,12068,0.6932,0.8571,-0.236439699942296
"1260","Cornell College",2,14872,10924,0.6608,0.6364,0.0369249394673125
"1264","Dordt College",2,13877,9273,0.6686,0.1667,0.750673048160335
"1265","Drake University",2,19025,9898,0.7829,0.625,0.201686039085452
"1266","University of Dubuque",2,17590,6773,0.7315,0.5,0.316473000683527
"1268","Emmaus Bible College",2,10032,7013,0.8113,0.75,0.0755577468260816
"1270","Faith Baptist Bible College and Theological Seminary",2,10253,6877,0.6364,0.5,0.214330609679447
"1272","Graceland University-Lamoni",2,10847,7762,0.5809,0.25,0.569633327595111
"1273","Grand View University",2,13313,6321,0.5125,0.2143,0.581853658536585
"1274","Grinnell College",2,15725,23944,0.903,0.8421,0.0674418604651164
"1275","Kaplan University-Mason City Campus",3,6454,1396,0.4348,0.25,0.425022999080037
"1277","Hamilton Technical College",3,6271,3146,0.7658,0.6667,0.129407155915383
"1286","Iowa State University",1,9647,9179,0.708,0.5423,0.234039548022599
"1287","Iowa Wesleyan University",2,13363,10604,0.4333,0.4286,0.0108469882298639
"1289","University of Iowa",1,13687,14593,0.7059,0.6187,0.123530245077206
"1295","Loras College",2,12369,6733,0.6399,0.5385,0.158462259728083
"1296","Luther College",2,18373,13112,0.8356,0.6429,0.230612733365247
"1299","Mercy College of Health Sciences",2,16176,6960,0.45,0.5,-0.111111111111111
"1300","Morningside College",2,10192,5590,0.5649,0.2,0.645955036289609
"1301","Mount Mercy University",2,16210,8414,0.7219,1,-0.385233411829893
"1302","Ashford University",3,11829,2024,0.2215,0.1406,0.365237020316027
"1304","University of Northern Iowa",1,5924,9802,0.6486,0.4667,0.280450200431699
"1305","Northwestern College",2,11801,8356,0.6471,0.8,-0.236284963684129
"1312","Saint Ambrose University",2,15626,9031,0.5904,0.5833,0.0120257452574526
"1316","Simpson College",2,12406,8297,0.7314,0.8,-0.0937927262783702
"1322","Upper Iowa University",2,7458,3549,0.4754,0.1818,0.617585191417753
"1323","Waldorf College",3,6955,3447,0.4302,0.0769,0.821245932124593
"1324","Wartburg College",2,15348,9632,0.7366,0.25,0.660602769481401
"1328","William Penn University",2,9228,4941,0.4336,0.375,0.135147601476015
"1330","Baker University",2,11872,5319,0.6209,0.6,0.0336608149460461
"1332","Benedictine College",2,10941,6322,0.9147,0.85,0.0707335738493495
"1333","Bethany College",2,6677,4923,0.3852,0.3889,-0.00960539979231578
"1334","Bethel College-North Newton",2,11714,7887,0.6304,0.3636,0.423223350253807
"1335","Brown Mackie College-Kansas City",3,12175,5079,0.3091,0.2,0.352960207052734
"1336","Brown Mackie College-Salina",3,10073,3945,0.4,0.4286,-0.0714999999999999
"1340","Central Christian College of Kansas",2,10162,3250,0.4211,0.1111,0.736167181192116
"1348","Emporia State University",1,6954,7276,0.4091,0.2143,0.476167196284527
"1350","Fort Hays State University",1,5390,5317,0.4474,0.28,0.374161823871256
"1352","Friends University",2,14039,5679,0.3223,0.125,0.612162581445858
"1362","Concorde Career College-Kansas City",3,12756,7180,0.5864,0.6406,-0.0924283765347884
"1365","University of Kansas",1,10881,17259,0.6101,0.5314,0.128995246680872
"1366","Newman University",2,8188,4415,0.4881,0.3636,0.255070682237246
"1368","Kansas State University",1,9596,11388,0.6225,0.4662,0.251084337349398
"1369","Kansas Wesleyan University",2,12463,5154,0.3654,0.2,0.452654625068418
"1375","McPherson College",2,10327,8340,0.49,0.5455,-0.113265306122449
"1376","MidAmerica Nazarene University",2,10008,6311,0.4972,0.7143,-0.436645213193886
"1380","Ottawa University-Ottawa",2,10434,2901,0.3884,0.0909,0.765962924819773
"1382","Pittsburg State University",1,4817,6468,0.5136,0.5357,-0.0430295950155763
"1384","University of Saint Mary",2,12487,7833,0.3514,0.4286,-0.21969265793967
"1388","Southwestern College",2,11562,5360,0.5798,0.5,0.137633666781649
"1389","Sterling College",2,9022,4448,0.4262,0.375,0.120131393711872
"1390","Tabor College",2,9635,5332,0.7595,0.3333,0.561158657011192
"1391","Washburn University",1,5475,8277,0.4087,0.1667,0.592121360411059
"1393","Wichita State University",1,6453,6772,0.4721,0.3021,0.360093200593095
"1396","Asbury University",2,14365,9212,0.6996,0.5455,0.220268724985706
"1400","Bellarmine University",2,15929,8774,0.6752,0.7222,-0.0696090047393364
"1401","Berea College",2,2917,14851,0.5813,0.8889,-0.529158782040255
"1405","Campbellsville University",2,9110,5694,0.4343,0.2,0.539488832604191
"1407","Centre College",2,18011,16874,0.8271,1,-0.209043646475638
"1412","University of the Cumberlands",2,8477,4353,0.4241,0.3889,0.0829992926196651
"1413","Eastern Kentucky University",1,6440,8940,0.4315,0.3214,0.255156431054461
"1416","Georgetown College",2,12788,8363,0.5479,0.8,-0.460120459937945
"1422","Daymar College-Paducah Main",3,18535,7711,0.5,1,-1
"1428","Kentucky State University",1,8557,7500,0.1207,0.6667,-4.52361226180613
"1429","Kentucky Wesleyan College",2,11466,5301,0.3977,0.25,0.371385466431984
"1430","University of Kentucky",1,10959,11208,0.627,0.6308,-0.0060606060606061
"1431","Kentucky Christian University",2,9312,5343,0.5714,1,-0.750087504375219
"1435","University of Louisville",1,11357,15324,0.5419,0.4667,0.138770990957741
"1439","Midway University",2,10812,6491,0.5158,0.5,0.0306320279177977
"1440","Morehead State University",1,4950,7086,0.4388,0.375,0.145396536007293
"1441","Murray State University",1,7371,8075,0.5292,0.6667,-0.259826152683295
"1443","Northern Kentucky University",1,8607,7407,0.3783,0.325,0.140893470790378
"1448","University of Pikeville",2,15152,6131,0.4423,0.25,0.43477277865702
"1450","Brown Mackie College-Louisville",3,9348,3525,0.2784,0.3,-0.0775862068965518
"1452","Saint Catharine College",2,11546,8416,0.3282,1,-2.04692260816575
"1460","Spencerian College-Louisville",3,14533,7586,0.6016,0.5,0.168882978723404
"1462","Thomas More College",2,12637,6692,0.5,0.5,0
"1463","Transylvania University",2,13229,9988,0.7132,0.6,0.158721256309591
"1466","Western Kentucky University",1,7780,8290,0.4821,0.3226,0.330844223190209
"1476","Centenary College of Louisiana",2,12340,13193,0.5198,0.3636,0.300500192381685
"1484","Dillard University",2,12186,12378,1,1,0
"1486","Grambling State University",1,4543,5199,0.4286,0.75,-0.749883341110593
"1492","Louisiana State University-Alexandria",1,4864,7243,0.2046,0.2,0.0224828934506354
"1493","Louisiana State University and Agricultural & Mechanical College",1,10082,10227,0.6797,0.6667,0.0191260850375166
"1495","Louisiana State University-Shreveport",1,4180,6256,0.3514,0.2222,0.367672168468981
"1499","Louisiana College",2,9880,9049,0.5145,0.3333,0.352186588921283
"1501","Louisiana Tech University",1,6473,6006,0.5519,0.4828,0.125203841275593
"1502","Loyola University New Orleans",2,18553,12082,0.6266,0.6164,0.0162783274816471
"1503","McNeese State University",1,4780,4921,0.439,0.3333,0.240774487471526
"1504","University of New Orleans",1,7792,8102,0.3251,0.3218,0.0101507228545064
"1505","Nicholls State University",1,5254,5685,0.4332,0.4783,-0.104108956602031
"1506","University of Louisiana at Monroe",1,6327,6141,0.428,0.5263,-0.229672897196262
"1509","Northwestern State University of Louisiana",1,5838,5447,0.3946,0.3636,0.0785605676634567
"1511","Our Lady of the Lake College",2,12893,7026,0.3281,0.5,-0.523925632429137
"1517","Saint Joseph Seminary College",2,19233,22995,1,1,0
"1524","Southeastern Louisiana University",1,4772,5717,0.3984,0.3651,0.0835843373493976
"1525","Southern University and A & M College",1,4727,6523,0.4,0.25,0.375
"1528","University of Louisiana at Lafayette",1,5702,5433,0.5054,0.4524,0.104867431737238
"1530","Tulane University of Louisiana",2,24250,21627,0.8452,0.7255,0.141623284429721
"1531","Xavier University of Louisiana",2,15977,8378,0.2727,0.6667,-1.44481114778144
"1533","Kaplan University-Maine Campus",3,6670,1974,0.1697,0.3333,-0.964054213317619
"1534","College of the Atlantic",2,37489,12848,0.75,1,-0.333333333333333
"1535","Bates College",2,41051,21684,0.8834,0.7667,0.13210323749151
"1537","Bowdoin College",2,28543,27158,0.9615,0.8615,0.104004160166407
"1540","Colby College",2,28496,19918,0.9204,0.9231,-0.00293350717079535
"1542","Husson University",2,12740,6040,0.4523,0.2,0.557815609108998
"1546","University of Maine at Farmington",1,6403,9705,0.5406,0.75,-0.387347391786904
"1549","University of Maine",1,9569,10098,0.5991,0.5,0.165414788849942
"1551","University of Maine at Presque Isle",1,4491,8382,0.406,0.3333,0.179064039408867
"1552","University of New England",2,20791,10350,0.5818,0.1429,0.754382949467171
"1555","Maine College of Art",2,18009,10322,0.4556,1,-1.19490781387182
"1556","Saint Joseph's College of Maine",2,9806,6776,0.6308,0.5,0.207355738744452
"1559","University of Southern Maine",1,8764,9665,0.3354,0.2857,0.148181276088253
"1560","Thomas College",2,10375,3685,0.4416,0.6667,-0.50973731884058
"1561","Unity College",2,14860,7830,0.6144,0.6667,-0.0851236979166667
"1571","University of Baltimore",1,10024,9029,0.5435,0.5,0.0800367985280589
"1572","Bowie State University",1,5394,6933,0.4545,0.2222,0.511111111111111
"1577","Washington Adventist University",2,10184,10322,0.3333,0.4118,-0.235523552355236
"1582","Frostburg State University",1,5333,7315,0.513,0.3793,0.260623781676413
"1584","Goucher College",2,17814,14320,0.6444,0.5882,0.0872129112352577
"1585","Kaplan University-Hagerstown Campus",3,8241,2035,0.4256,0.2857,0.328712406015038
"1588","Hood College",2,15064,8924,0.7318,0.7059,0.0353921836567369
"1591","Johns Hopkins University",2,23199,77339,0.9423,0.9298,0.0132654144115463
"1594","Loyola University Maryland",2,24968,11858,0.8393,0.6939,0.173239604432265
"1596","University of Maryland-University College",1,10859,4401,0.0357,0.125,-2.50140056022409
"1598","University of Maryland-Baltimore County",1,8750,9911,0.6344,0.4667,0.264344262295082
"1599","University of Maryland-College Park",1,11089,13487,0.8653,0.7986,0.0770830925690512
"1600","Maryland Institute College of Art",2,27067,13752,0.7311,0.8,-0.0942415538230065
"1601","University of Maryland Eastern Shore",1,4016,8675,0.3784,0.1,0.735729386892177
"1605","Morgan State University",1,5872,9454,0.0714,0.1429,-1.00140056022409
"1606","Mount St Mary's University",2,16339,9008,0.6462,0.6087,0.0580315691736304
"1609","Notre Dame of Maryland University",2,15870,10387,0.6296,0.5,0.20584498094028
"1614","Salisbury University",1,6252,6764,0.6801,0.575,0.154536097632701
"1615","St Mary's College of Maryland",1,12403,13744,0.8199,0.8182,0.00207342358824238
"1617","St John's College",2,22377,19343,0.7317,0.4286,0.414240809074757
"1619","Towson University",1,6531,5824,0.6983,0.6495,0.069884004009738
"1622","Stevenson University",2,14586,9166,0.6829,0.5,0.267828378972031
"1623","Washington College",2,20737,13085,0.7627,0.5,0.34443424675495
"1624","McDaniel College",2,14652,9518,0.6812,0.7059,-0.0362595419847327
"1628","American International College",2,13220,6417,0.4345,0.1351,0.689067894131185
"1629","Amherst College",2,23728,25196,0.9583,0.9574,0.000939163101325276
"1631","Anna Maria College",2,15425,6591,0.4263,0.1765,0.585972319962468
"1633","Assumption College",2,13538,8256,0.7198,0.8421,-0.169908307863295
"1634","Babson College",2,33960,14110,0.9162,0.8718,0.0484610347085789
"1637","Bay Path University",2,13659,6300,0.6667,0.7222,-0.0832458377081146
"1638","Bay State College",3,18058,5322,0.2404,0.3721,-0.54783693843594
"1640","Becker College",2,18707,6358,0.3333,0.2917,0.124812481248125
"1641","Bentley University",2,26044,13120,0.9156,0.8723,0.0472913936216689
"1642","Berklee College of Music",2,30778,20631,0.4839,0.62,-0.281256457945857
"1647","Boston College",2,29527,20571,0.931,0.8776,0.0573576799140709
"1648","The Boston Conservatory",2,51665,30750,0.6897,0.5,0.275047121937074
"1649","Boston University",2,28408,26542,0.8717,0.839,0.0375129058162212
"1650","Brandeis University",2,20256,14961,0.9707,0.92,0.0522303492325126
"1651","Bridgewater State University",1,7655,5945,0.5964,0.4348,0.270959087860496
"1659","Clark University",2,16719,10719,0.7917,0.5909,0.253631426045219
"1661","Curry College",2,20717,10358,0.4698,0.4,0.148573861217539
"1663","Dean College",2,16144,7298,0.461,1,-1.16919739696312
"1666","Eastern Nazarene College",2,13130,6285,0.8226,0.5714,0.305373206904936
"1667","Emerson College",2,25406,9633,0.7786,0.7937,-0.0193937837143591
"1668","Emmanuel College",2,17131,7602,0.6744,0.6053,0.102461447212337
"1669","Endicott College",2,14246,6182,0.741,0.7143,0.0360323886639675
"1672","Fisher College",2,12837,7010,0.3455,0.3929,-0.137192474674385
"1673","Fitchburg State University",1,6214,8460,0.5805,0.4375,0.246339362618432
"1674","Framingham State University",1,5875,5518,0.5318,0.3548,0.332831891688605
"1675","Benjamin Franklin Institute of Technology",2,11283,6539,0.5224,0.4722,0.0960949464012251
"1676","Gordon College",2,18066,10259,0.7345,0.619,0.157249829816202
"1680","Hampshire College",2,25111,14371,0.7425,0.8276,-0.114612794612795
"1681","Harvard University",2,30239,49500,0.9865,0.9758,0.0108464267612773
"1685","College of the Holy Cross",2,26127,18884,0.9464,0.8769,0.07343617920541
"1690","Lasell College",2,17628,6513,0.5875,0.55,0.0638297872340425
"1692","Lesley University",2,18064,9026,0.6164,0.5263,0.146171317326411
"1694","University of Massachusetts-Lowell",1,11698,10748,0.5584,0.4701,0.158130372492837
"1697","Marian Court College",2,11115,4780,0.5135,0.3636,0.291918208373905
"1698","University of Massachusetts-Amherst",1,12076,13886,0.7574,0.731,0.034856086612094
"1699","University of Massachusetts-Boston",1,12413,12574,0.424,0.3554,0.161792452830189
"1701","MCPHS University",2,28155,9636,0.6953,0.7143,-0.0273263339565655
"1702","Massachusetts College of Art and Design",1,11821,11227,0.7041,0.7059,-0.00255645504899876
"1703","Massachusetts Institute of Technology",2,28992,62770,0.922,0.8716,0.0546637744034707
"1709","Merrimack College",2,17808,8599,0.7301,0.7143,0.021640871113546
"1712","Montserrat College of Art",2,18263,8328,0.5507,0.3333,0.394770292355184
"1713","Mount Holyoke College",2,18878,22711,0.811,0.7742,0.0453760789149199
"1714","Mount Ida College",2,16767,8297,0.4226,0.3462,0.180785612872693
"1717","School of the Museum of Fine Arts-Boston",2,24737,14646,0.4444,0.6923,-0.557830783078308
"1720","The New England Conservatory of Music",2,30965,28846,0.8056,0.6667,0.172418073485601
"1725","Newbury College",2,15985,6545,0.4527,0.2692,0.405345703556439
"1726","Nichols College",2,15101,4991,0.509,0.4118,0.190962671905697
"1727","Massachusetts College of Liberal Arts",1,5499,9487,0.5358,0.375,0.300111982082867
"1730","The New England Institute of Art",3,16394,9438,0.3505,0.4444,-0.2679029957204
"1731","Northeastern University",2,29609,15593,0.8288,0.7635,0.0787886100386101
"1733","College of Our Lady of the Elms",2,12028,6617,0.8299,0.7586,0.0859139655380165
"1734","Pine Manor College",2,13673,10992,0.4091,0.2143,0.476167196284527
"1738","Regis College",2,17530,8550,0.4951,0.3684,0.255907897394466
"1741","Salem State University",1,7002,8666,0.4698,0.4522,0.0374627501064283
"1743","Simmons College",2,18581,13365,0.651,0.7059,-0.084331797235023
"1744","Bard College at Simon's Rock",2,20848,18161,0.5588,0.8,-0.431639226914818
"1745","Smith College",2,21901,26786,0.8522,0.8293,0.0268716263787842
"1747","Springfield College",2,16867,10507,0.7146,0.4737,0.337111670864819
"1749","University of Massachusetts-Dartmouth",1,9174,11024,0.481,0.3906,0.187941787941788
"1750","Stonehill College",2,21222,13349,0.8263,0.75,0.0923393440638993
"1751","Suffolk University",2,24887,9476,0.5633,0.4779,0.151606603941062
"1753","Tufts University",2,29681,21543,0.9393,0.8916,0.0507824976045992
"1754","Wellesley College",2,19090,34705,0.9011,0.9153,-0.0157585173676617
"1755","Wentworth Institute of Technology",2,16132,9040,0.6579,0.4595,0.3015655874753
"1756","Western New England University",2,19220,9678,0.6153,0.3429,0.442710872745002
"1757","Westfield State University",1,7161,7305,0.6408,0.5143,0.197409488139825
"1758","Wheaton College",2,23672,15477,0.7712,0.6667,0.135503112033195
"1759","Wheelock College",2,18206,12496,0.5605,0.5714,-0.0194469223907226
"1760","Williams College",2,28118,39712,0.9747,0.9273,0.0486303477993229
"1761","Worcester Polytechnic Institute",2,32881,23528,0.8542,0.8,0.0634511823928821
"1762","Worcester State University",1,6197,6651,0.5581,0.3958,0.290808098907006
"1763","Adrian College",2,14193,8616,0.5655,0.5,0.115826702033599
"1767","Alma College",2,15295,11731,0.6192,0.6667,-0.0767118863049095
"1769","Andrews University",2,15627,12620,0.575,0.8261,-0.436695652173913
"1770","Aquinas College",2,11627,6096,0.5561,0.3636,0.346160762452796
"1771","Baker College of Owosso",2,7879,4185,0.1551,0.1176,0.241779497098646
"1772","Baker College",2,9903,5261,0.1049,0.1739,-0.657769304099142
"1776","Calvin College",2,16813,12897,0.7617,0.4615,0.394118419325194
"1780","Central Michigan University",1,9613,8491,0.5666,0.5699,-0.00582421461348389
"1785","College for Creative Studies",2,23602,11285,0.6313,1,-0.584032947885316
"1786","Davenport University",2,16437,5006,0.4545,0.3,0.33993399339934
"1792","University of Detroit Mercy",2,22915,13830,0.5575,0.52,0.0672645739910313
"1795","Eastern Michigan University",1,9345,8398,0.4507,0.3265,0.275571333481251
"1796","Ferris State University",1,9806,8867,0.4548,0.1818,0.600263852242744
"1799","Kettering University",2,20979,11797,0.6142,0.4706,0.233800065125366
"1802","Cornerstone University",2,11233,6235,0.4792,0.5,-0.0434056761268781
"1805","Grand Valley State University",1,10238,8086,0.6591,0.5588,0.152177211348809
"1808","Hope College",2,18046,10084,0.8158,0.6774,0.169649423878402
"1809","ITT Technical Institute-Wyoming",3,17601,2575,0.4023,0.4167,-0.0357941834451902
"1810","Jackson College",1,2821,6229,0.1202,0.0667,0.445091514143095
"1812","Kalamazoo College",2,17397,15391,0.8431,0.7895,0.063574902146839
"1817","Lake Michigan College",1,3035,6590,0.1824,0.2083,-0.141995614035088
"1820","Lawrence Technological University",2,19554,9838,0.546,0.25,0.542124542124542
"1823","Madonna University",2,11977,7733,0.5775,0.625,-0.0822510822510822
"1824","Marygrove College",2,10173,7473,0.2727,1,-2.66703337000367
"1825","Rochester College",2,11453,5084,0.4762,0.5,-0.0499790004199916
"1826","University of Michigan-Ann Arbor",1,21520,22728,0.9199,0.8836,0.0394608109577128
"1828","Michigan State University",1,16352,14779,0.8294,0.6602,0.204002893658066
"1829","Michigan Technological University",1,12860,10843,0.6525,0.6364,0.0246743295019157
"1830","University of Michigan-Dearborn",1,11540,9576,0.5147,0.5122,0.00485719836798146
"1831","University of Michigan-Flint",1,10169,8190,0.3724,0.2857,0.2328141783029
"1836","Baker College of Muskegon",2,8655,4598,0.1799,0.0513,0.714841578654808
"1841","Northern Michigan University",1,7554,7460,0.5065,0.24,0.526159921026653
"1843","Northwestern Michigan College",1,5862,7402,0.197,0.1765,0.104060913705584
"1844","Northwood University-Michigan",2,11879,5582,0.6161,0.3333,0.459016393442623
"1846","Oakland University",1,9761,7654,0.4957,0.2885,0.417994754892072
"1847","Olivet College",2,12774,5426,0.4505,0.2,0.556048834628191
"1854","Saginaw Valley State University",1,7974,6283,0.4361,0.3333,0.235725750974547
"1856","Siena Heights University",2,9436,5072,0.6136,0.5833,0.049380704041721
"1860","Spring Arbor University",2,10068,7358,0.5581,0.25,0.552051603655259
"1862","Finlandia University",2,14679,8519,0.4138,0.3333,0.194538424359594
"1868","Wayne State University",1,9959,13364,0.4909,0.2609,0.468527194948055
"1871","Western Michigan University",1,11364,10047,0.5543,0.4715,0.149377593360996
"1879","Augsburg College",2,16467,9081,0.6877,0.2857,0.5845572197179
"1882","Bemidji State University",1,4969,5853,0.4838,0.5556,-0.148408433236875
"1883","Bethany Lutheran College",2,11800,12008,0.5669,1,-0.763979537837361
"1884","Bethel University",2,15840,8633,0.7664,0.6364,0.169624217118998
"1887","Carleton College",2,29707,26922,0.9522,0.9,0.054820415879017
"1888","Concordia College at Moorhead",2,16727,10948,0.7682,0.5,0.349127831293934
"1889","Concordia University-Saint Paul",2,10502,5540,0.562,0.375,0.332740213523132
"1891","Martin Luther College",2,12059,8476,0.7195,1,-0.389854065323141
"1896","Globe University-Woodbury",3,18030,5104,0.4,0.5,-0.25
"1898","Gustavus Adolphus College",2,19361,15317,0.8189,0.6,0.267309805837099
