"","INSTNM","CONTROL","TUITFTE","INEXPFTE","C150_4_WHITE","C150_4_ASIAN","gap_completion_white_asian"
"2254","Drew University",2,17541,12802,0.6419,0.5417,0.156099080853716
"2259","Fairleigh Dickinson University-Metropolitan Campus",2,18071,7993,0.5902,0.7778,-0.317858353100644
"2260","Felician University",2,18931,8792,0.5,0.4615,0.077
"2261","Fairleigh Dickinson University-College at Florham",2,26923,11908,0.586,0.3158,0.461092150170648
"2263","Georgian Court University",2,18141,6982,0.5932,0.6667,-0.123904248145651
"2264","Rowan University",1,11552,16320,0.6995,0.5577,0.202716225875625
"2271","New Jersey City University",1,8077,10075,0.3628,0.4,-0.102535832414553
"2273","Kean University",1,8533,9932,0.5458,0.5647,-0.0346280688897032
"2279","Monmouth University",2,20580,8956,0.6805,0.75,-0.102130786186627
"2280","Montclair State University",1,9022,9110,0.6664,0.6276,0.0582232893157262
"2287","New Jersey Institute of Technology",1,10459,9177,0.6196,0.6045,0.0243705616526791
"2294","Princeton University",2,13255,52224,0.9754,0.9756,-0.00020504408447814
"2296","Ramapo College of New Jersey",1,9576,9581,0.7508,0.7547,-0.00519445924347365
"2298","Rider University",2,20981,13081,0.6678,0.6429,0.0372866127583108
"2300","Rutgers University-Camden",1,12573,14493,0.5891,0.6154,-0.0446443727720251
"2301","Rutgers University-New Brunswick",1,13386,18006,0.8244,0.8504,-0.0315380883066473
"2302","Rutgers University-Newark",1,12686,13707,0.6525,0.7398,-0.133793103448276
"2305","Saint Peter's University",2,16376,8356,0.6536,0.5818,0.109853121175031
"2307","Seton Hall University",2,22657,10660,0.7291,0.6782,0.0698120971060211
"2309","College of Saint Elizabeth",2,18832,11114,0.5435,1,-0.839926402943882
"2311","Stevens Institute of Technology",2,27192,13732,0.8144,0.8333,-0.0232072691552063
"2312","Stockton University",1,6882,8487,0.6755,0.8,-0.184307920059215
"2316","The College of New Jersey",1,11918,11128,0.8859,0.9107,-0.0279941302630093
"2319","William Paterson University of New Jersey",1,10018,10595,0.5467,0.5932,-0.0850557892811414
"2326","Eastern New Mexico University-Main Campus",1,3385,6199,0.3354,0.25,0.254621347644603
"2329","New Mexico Highlands University",1,4028,7548,0.16,0.3333,-1.083125
"2333","New Mexico Institute of Mining and Technology",1,5233,9260,0.486,0.4167,0.142592592592593
"2335","University of New Mexico-Main Campus",1,5411,11745,0.5172,0.5225,-0.0102474864655839
"2339","New Mexico State University-Main Campus",1,4051,9196,0.5025,0.5417,-0.0780099502487562
"2352","Vaughn College of Aeronautics and Technology",2,15277,7591,0.4444,0.3333,0.25
"2353","Adelphi University",2,21769,12729,0.6986,0.5273,0.245204695104495
"2355","Globe Institute of Technology",3,2307,2421,0.2424,0.3182,-0.312706270627063
"2357","Albany College of Pharmacy and Health Sciences",2,24725,12450,0.7536,0.825,-0.0947452229299362
"2360","Alfred University",2,8986,10968,0.5785,0.5455,0.0570440795159897
"2366","American Musical and Dramatic Academy",2,18927,7368,0.735,0.375,0.489795918367347
"2372","Bard College",2,15516,23461,0.7582,0.8,-0.0551305724083356
"2373","Barnard College",2,29924,21263,0.8939,0.9286,-0.0388186598053473
"2375","Berkeley College-New York",3,18332,5189,0.2784,0.4762,-0.710488505747127
"2382","Briarcliffe College",3,18087,5111,0.5132,0.2857,0.443296960249415
"2387","Bryant & Stratton College-Amherst",3,12838,2806,0.3226,1,-2.09981401115933
"2393","Canisius College",2,15780,9078,0.7075,0.4167,0.411024734982332
"2403","Clarkson University",2,14504,13300,0.7187,0.6923,0.0367329901210519
"2407","Colgate University",2,30401,22975,0.9313,1,-0.0737678513905294
"2409","Columbia University in the City of New York",2,33371,80944,0.9581,0.9545,0.00375743659325742
"2416","Cooper Union for the Advancement of Science and Art",2,2876,21635,0.8409,0.825,0.0189083125222976
"2417","Cornell University",2,25066,23818,0.9445,0.9605,-0.0169401799894124
"2421","Culinary Institute of America",2,22161,12857,0.7317,0.8,-0.0933442667760011
"2422","CUNY Bernard M Baruch College",1,6620,8733,0.6503,0.7043,-0.0830385975703522
"2425","CUNY Brooklyn College",1,4474,8934,0.5364,0.5709,-0.064317673378076
"2426","College of Staten Island CUNY",1,3868,8302,0.3246,0.2792,0.139864448552064
"2427","CUNY City College",1,4649,13370,0.4465,0.4732,-0.0597984322508399
"2430","CUNY Hunter College",1,5909,9116,0.4971,0.5886,-0.184067592033796
"2431","CUNY John Jay College of Criminal Justice",1,4113,8629,0.4324,0.4444,-0.0277520814061055
"2434","CUNY Lehman College",1,5599,9882,0.5079,0.4583,0.0976570190982478
"2436","CUNY New York City College of Technology",1,2839,8532,0.1835,0.207,-0.128065395095368
"2437","CUNY Queens College",1,4826,8503,0.6447,0.5351,0.170001551109043
"2440","CUNY York College",1,3421,8699,0.2987,0.2987,0
"2445","Dominican College of Blauvelt",2,17734,7330,0.4065,0.5833,-0.434932349323493
"2446","Dowling College",2,18761,9176,0.4318,1,-1.31588698471515
"2450","Elmira College",2,14188,8318,0.604,0.5,0.172185430463576
"2452","Fashion Institute of Technology",1,8079,11351,0.7611,0.8,-0.0511102351859152
"2454","Five Towns College",3,12388,4667,0.3969,0.3333,0.160241874527589
"2455","Fordham University",2,26498,14019,0.8386,0.8137,0.0296923443834963
"2462","Hamilton College",2,30824,30436,0.9256,0.8235,0.110306828003457
"2463","Hartwick College",2,20529,11244,0.5925,0.7143,-0.205569620253165
"2466","Hilbert College",2,14015,5739,0.519,1,-0.926782273603083
"2467","Hobart William Smith Colleges",2,24777,13538,0.7672,0.9444,-0.23096976016684
"2468","Hofstra University",2,26052,16162,0.6403,0.4787,0.252381696079962
"2469","Houghton College",2,14302,10197,0.7711,0.5,0.35157567111918
"2474","Iona College",2,20138,8094,0.6097,0.3333,0.45333770706905
"2477","Ithaca College",2,21592,12627,0.823,0.6731,0.182138517618469
"2482","The Juilliard School",2,16518,28982,0.8214,0.7647,0.0690284879474068
"2485","Keuka College",2,14232,7665,0.4818,0.3333,0.308219178082192
"2486","LIM College",3,25215,4380,0.5051,0.5,0.0100970104929717
"2487","Le Moyne College",2,15242,10173,0.7303,0.7778,-0.0650417636587705
"2488","LIU Brooklyn",2,24979,11466,0.4866,0.3986,0.180846691327579
"2489","LIU Post",2,20971,10578,0.4296,0.5417,-0.260940409683426
"2496","Manhattan College",2,21001,10328,0.7824,0.6897,0.118481595092025
"2497","Manhattan School of Music",2,30208,18431,0.6364,0.6923,-0.0878378378378379
"2498","Manhattanville College",2,15509,8104,0.5785,0.5714,0.0122731201382887
"2501","Marist College",2,21295,11426,0.8182,0.6667,0.18516255194329
"2503","Marymount Manhattan College",2,21812,11003,0.4326,0.5556,-0.284327323162275
"2507","Mercy College",2,14998,4953,0.4663,0.2857,0.387304310529702
"2517","Molloy College",2,21375,13066,0.7491,0.7143,0.0464557468962755
"2518","Monroe College",3,11102,3561,0.4667,0.8571,-0.836511677737304
"2520","Mount Saint Mary College",2,16643,7611,0.5898,0.5455,0.0751102068497796
"2521","College of Mount Saint Vincent",2,17809,8693,0.5762,0.7143,-0.23967372440125
"2524","Nazareth College",2,19706,11433,0.7769,0.5,0.356416527223581
"2526","The College of New Rochelle",2,13397,5731,0.3846,0.5714,-0.485699427977119
"2527","The New School",2,26315,13249,0.54,0.7973,-0.476481481481481
"2535","New York University",2,32018,30237,0.8355,0.8759,-0.0483542788749252
"2537","Niagara University",2,12912,7464,0.6753,1,-0.480823337775803
"2541","New York Institute of Technology",2,29171,14043,0.4754,0.5933,-0.248001682793437
"2543","Nyack College",2,12877,7724,0.5783,0.4231,0.268372816877053
"2548","Pace University-New York",2,20304,10470,0.5425,0.6571,-0.211244239631336
"2551","Plaza College",3,717,4103,0.2917,0.64,-1.19403496743229
"2553","Pratt Institute-Main",2,29420,14711,0.6334,0.7238,-0.14272181875592
"2561","Rensselaer Polytechnic Institute",2,26741,19069,0.8327,0.8462,-0.0162123213642368
"2563","Roberts Wesleyan College",2,15751,10621,0.6684,1,-0.496110113704369
"2565","Rochester Institute of Technology",2,19868,17731,0.6535,0.6118,0.0638102524866105
"2566","University of Rochester",2,21893,28983,0.858,0.8714,-0.0156177156177156
"2569","The Sage Colleges",2,12380,7845,0.6028,1,-0.65892501658925
"2571","St Bonaventure University",2,15218,8189,0.7091,1,-0.410238330277817
"2572","St Francis College",2,14332,7426,0.64,0.35,0.453125
"2574","St Lawrence University",2,22702,15966,0.8438,0.8889,-0.0534486845223987
"2575","The College of Saint Rose",2,15067,12055,0.6667,0.7143,-0.0713964301784912
"2576","St. Thomas Aquinas College",2,15850,7969,0.6151,0.6667,-0.0838887985693383
"2578","Sarah Lawrence College",2,25770,20449,0.7598,0.8182,-0.0768623321926823
"2581","Siena College",2,15930,10563,0.8224,0.7308,0.111381322957198
"2582","Skidmore College",2,30389,19668,0.8698,0.7917,0.0897907564957462
"2583","Saint Joseph's College-New York",2,15725,8251,0.7229,0.75,-0.037487895974547
"2587","Saint John Fisher College",2,18573,9198,0.7253,0.6364,0.122569971046464
"2590","St John's University-New York",2,22125,11325,0.6568,0.6151,0.0634896467722291
"2594","SUNY College of Technology at Alfred",1,3378,10105,0.5227,0.2222,0.574899559977042
"2596","SUNY College of Technology at Delhi",1,3855,9374,0.4194,0.1667,0.602527420123987
"2597","SUNY College of Agriculture and Technology at Cobleskill",1,4180,8430,0.3767,0.5455,-0.448101937881603
"2598","Farmingdale State College",1,5571,9828,0.4866,0.439,0.0978216193999178
"2599","Morrisville State College",1,3426,10657,0.3009,0.5,-0.661681621801263
"2600","SUNY at Albany",1,6348,13815,0.6621,0.6882,-0.0394200271862257
"2601","SUNY at Binghamton",1,7150,11395,0.8194,0.8006,0.0229436172809373
"2602","University at Buffalo",1,8627,15806,0.7171,0.7875,-0.0981731976014503
"2603","Stony Brook University",1,7992,20564,0.6282,0.7354,-0.170646290990131
"2604","SUNY College of Environmental Science and Forestry",1,5570,15092,0.6748,0.6364,0.0569057498518079
"2605","SUNY Polytechnic Institute",1,5536,9924,0.4366,0.5,-0.145213009619789
"2606","SUNY College at Brockport",1,5102,11647,0.6819,0.7143,-0.047514298284206
"2607","SUNY Buffalo State",1,4158,9777,0.4642,0.1471,0.683110728134425
"2608","SUNY College at Cortland",1,5533,9436,0.6933,0.5217,0.247511899610558
"2609","SUNY at Fredonia",1,5151,10948,0.6751,0.65,0.0371796770848763
"2610","SUNY College at Geneseo",1,5680,10471,0.8057,0.8,0.00707459352116163
"2611","State University of New York at New Paltz",1,6051,10550,0.7733,0.7174,0.072287598603388
"2612","SUNY Oneonta",1,4942,8942,0.7436,0.6,0.193114577729962
"2613","SUNY College at Oswego",1,5178,10636,0.6529,0.5882,0.0990963394087917
"2614","SUNY College at Potsdam",1,4559,12437,0.5625,0.6154,-0.0940444444444443
"2615","SUNY at Purchase College",1,6336,10439,0.6765,0.5238,0.225720620842572
"2617","SUNY College at Old Westbury",1,4182,9875,0.2836,0.5484,-0.933709449929478
"2618","SUNY College at Plattsburgh",1,5252,11263,0.6095,0.64,-0.0500410172272354
"2620","SUNY Empire State College",1,4688,9046,0.2056,0.2,0.0272373540856031
"2621","SUNY Maritime College",1,6399,11637,0.5096,0.4286,0.158948194662481
"2624","Syracuse University",2,22079,15192,0.8299,0.7937,0.0436197132184601
"2631","Touro College",2,12576,6892,0.4747,0.3478,0.267326732673267
"2636","Union College",2,27513,19835,0.8409,0.9655,-0.148174574860269
"2639","United States Merchant Marine Academy",1,602,15985,0.7284,0.8333,-0.144014277869303
"2640","Utica College",2,14758,7365,0.5141,0.6364,-0.237891460805291
"2642","Vassar College",2,25998,29919,0.9392,0.8793,0.0637776831345827
"2644","School of Visual Arts",3,31892,15105,0.6487,0.7407,-0.141822105749961
"2645","Wagner College",2,23434,10858,0.6692,0.7,-0.0460251046025104
"2646","Webb Institute",2,413,31658,0.8947,1,-0.117693081479826
"2647","Wells College",2,12882,8376,0.6778,0.3333,0.508262024195928
"2648","The College of Westchester",3,19998,6634,0.4528,0.4167,0.0797261484098939
"2658","Yeshiva University",2,22288,33568,0.8549,1,-0.169727453503334
"2664","Appalachian State University",1,6100,7384,0.702,0.8824,-0.256980056980057
"2666","Barton College",2,15311,7130,0.5,1,-1
"2668","Belmont Abbey College",2,10292,4841,0.3913,0.3333,0.148223869154102
"2677","Campbell University",2,12550,11643,0.5618,0.5789,-0.030437878248487
"2681","Catawba College",2,18808,7510,0.5095,1,-0.962708537782139
"2691","Davidson College",2,20505,19228,0.9275,0.9091,0.0198382749326145
"2692","Duke University",2,22556,50756,0.9574,0.952,0.00564027574681436
"2694","East Carolina University",1,6806,11749,0.5886,0.7209,-0.224770642201835
"2696","Elizabeth City State University",1,2966,9039,0.3171,1,-2.15357931251971
"2697","Elon University",2,25949,15016,0.8149,0.7143,0.123450730150939
"2700","Fayetteville State University",1,3287,8035,0.3333,0.3333,0
"2702","Gardner-Webb University",2,9144,5645,0.6235,1,-0.603849238171612
"2705","Guilford College",2,12312,6881,0.62,0.5,0.193548387096774
"2710","High Point University",2,23711,9376,0.6248,0.875,-0.40044814340589
"2716","Lees-McRae College",2,9804,4627,0.3676,1,-1.72034820457019
"2718","Lenoir-Rhyne University",2,12322,7378,0.5985,0.3333,0.443107769423559
"2722","Mars Hill University",2,9370,5625,0.412,0.5,-0.213592233009709
"2727","Meredith College",2,18662,10394,0.6287,0.4167,0.337203753777636
"2728","Methodist University",2,13927,7680,0.4226,0.1667,0.605537150970185
"2734","Montreat College",2,9323,4666,0.3412,1,-1.93083235638921
"2735","University of Mount Olive",2,8484,2935,0.4771,1,-1.09599664640537
"2738","North Carolina A & T State University",1,5359,8997,0.2727,0.3077,-0.128346167950128
"2739","University of North Carolina at Asheville",1,6444,8967,0.6586,0.7273,-0.104312177345885
"2740","University of North Carolina at Chapel Hill",1,12502,25710,0.9171,0.9346,-0.0190818885617708
"2741","University of North Carolina at Charlotte",1,7245,9126,0.5335,0.5633,-0.0558575445173384
"2742","University of North Carolina at Greensboro",1,5658,8999,0.5484,0.61,-0.112326768781911
"2744","University of North Carolina School of the Arts",1,12770,22850,0.6327,0.4,0.367788841473052
"2745","North Carolina State University at Raleigh",1,8400,13745,0.7554,0.8112,-0.0738681493248611
"2747","University of North Carolina Wilmington",1,7246,7955,0.7098,0.7273,-0.02465483234714
"2749","William Peace University",2,10837,4406,0.3269,1,-2.05903946160905
"2750","University of North Carolina at Pembroke",1,3982,7060,0.346,0.28,0.190751445086705
"2751","Pfeiffer University",2,11159,6953,0.3609,0.6667,-0.84732612912164
"2755","Queens University of Charlotte",2,14527,9844,0.6316,0.7143,-0.13093730208993
"2780","Wake Forest University",2,29439,26803,0.8896,0.8939,-0.00483363309352527
"2782","Warren Wilson College",2,14211,11700,0.5204,0.5714,-0.0980015372790162
"2788","Wingate University",2,11874,8993,0.543,0.6,-0.104972375690608
"2791","Winston-Salem State University",1,4270,11194,0.2593,0.8,-2.08522946394138
"2792","Western Carolina University",1,5595,7845,0.6014,0.75,-0.247090123046225
"2795","Dickinson State University",1,5031,10550,0.3966,0.3333,0.159606656580938
"2803","University of Mary",2,14103,5990,0.4779,0.5,-0.0462439840970915
"2804","Mayville State University",1,4986,6689,0.4225,0.5,-0.183431952662722
"2807","University of North Dakota",1,9624,15698,0.5609,0.3636,0.3517561062578
"2810","North Dakota State University-Main Campus",1,8007,8329,0.5728,0.4889,0.146473463687151
"2817","Valley City State University",1,5485,11284,0.5289,0.3333,0.369824163357913
"2822","University of Akron Main Campus",1,9669,9013,0.474,0.4943,-0.0428270042194094
"2830","Ashland University",2,11756,7174,0.6066,0.75,-0.236399604352127
"2834","Baldwin Wallace University",2,15412,10353,0.7259,0.875,-0.205400192864031
"2839","Bowling Green State University-Main Campus",1,8806,8710,0.5703,0.5938,-0.0412063826056461
"2844","Capital University",2,14480,9208,0.6112,0.75,-0.227094240837696
"2848","Case Western Reserve University",2,22634,30078,0.8286,0.8404,-0.014240888245233
"2849","Cedarville University",2,15888,9969,0.7,0.6923,0.0109999999999999
"2856","Cincinnati Christian University",2,9294,5856,0.4111,1,-1.43249817562637
"2858","University of Cincinnati-Main Campus",1,12556,10072,0.6302,0.6364,-0.00983814662012057
"2860","University of Cincinnati-Clermont College",1,5727,6014,0.2513,0.25,0.00517309988062086
"2861","University of Cincinnati-Blue Ash College",1,5596,6978,0.2533,0.3636,-0.435452033162258
"2865","Cleveland Institute of Art",2,18821,12963,0.6914,0.3333,0.517934625397744
"2867","Cleveland Institute of Music",2,24790,23413,0.5806,0.6,-0.0334137099552187
"2868","Cleveland State University",1,10568,8111,0.4643,0.5,-0.0768899418479432
"2871","Columbus College of Art and Design",2,30430,10539,0.5973,0.6154,-0.0303030303030301
"2876","University of Dayton",2,20574,11646,0.7766,0.6667,0.141514293072367
"2878","Denison University",2,22338,17967,0.8369,0.7692,0.0808937746445214
"2900","ITT Technical Institute-Dayton",3,19066,2781,0.4068,1,-1.45821042281219
"2902","John Carroll University",2,12841,9268,0.8517,0.7778,0.0867676411882118
"2905","Kent State University at Ashtabula",1,6221,6239,0.1193,1,-7.38222967309304
"2907","Kent State University at Stark",1,6148,5103,0.2891,0.4286,-0.482531995849187
"2911","Kent State University at Kent",1,9926,7718,0.564,0.6184,-0.0964539007092199
"2913","Kenyon College",2,29409,22319,0.9028,0.8667,0.0399867080194949
"2924","Marietta College",2,16189,12859,0.6656,1,-0.502403846153846
"2929","Miami University-Hamilton",1,5198,4462,0.285,0.3333,-0.169473684210526
"2930","Miami University-Middletown",1,4856,5386,0.204,0.25,-0.225490196078431
"2931","Miami University-Oxford",1,16027,10181,0.7949,0.8317,-0.046295131463077
"2936","University of Mount Union",2,13981,9277,0.6456,0.7273,-0.126548946716233
"2937","Mount Vernon Nazarene University",2,12358,7324,0.5891,0.75,-0.273128501103378
"2940","Muskingum University",2,11311,8808,0.5452,0.6667,-0.222853998532648
"2942","Brown Mackie College-North Canton",3,9885,4273,0.3868,0.3333,0.138314374353671
"2950","University of Northwestern Ohio",2,8614,3544,0.5695,0.3333,0.414749780509219
"2951","Oberlin College",2,29026,28894,0.877,0.8056,0.0814139110604333
"2954","Ohio Dominican University",2,11936,5335,0.485,0.6667,-0.374639175257732
"2956","Ohio Northern University",2,16986,12519,0.7176,0.5385,0.249581939799331
"2958","Ohio State University-Lima Campus",1,7037,8888,0.3476,0.2222,0.360759493670886
"2959","Ohio State University-Mansfield Campus",1,6853,8259,0.4415,0.5714,-0.294224235560589
"2960","Ohio State University-Marion Campus",1,6941,7903,0.4249,0.6786,-0.597081666274417
"2961","Ohio State University-Newark Campus",1,6831,6203,0.4122,0.381,0.0756914119359534
"2966","Ohio State University-Main Campus",1,12627,16075,0.844,0.8806,-0.0433649289099527
"2967","Ohio University-Eastern Campus",1,3236,5525,0.4118,1,-1.42836328314716
"2970","Ohio University-Lancaster Campus",1,3389,4644,0.2595,0.3333,-0.284393063583815
"2971","Ohio University-Main Campus",1,10710,9704,0.674,0.5882,0.127299703264095
"2975","Ohio Wesleyan University",2,14320,13075,0.6588,0.8571,-0.301001821493625
"2976","Otterbein University",2,15914,10325,0.612,0.8571,-0.400490196078431
"2981","Pontifical College Josephinum",2,20970,13959,0.8889,1,-0.124985937675779
"2986","Fortis College-Centerville",3,9230,4130,0.6977,0.6,0.140031532177154
"2989","Shawnee State University",1,6168,5874,0.3244,0.1667,0.48612823674476
"2996","Brown Mackie College-Cincinnati",3,8945,3696,0.2622,0.3333,-0.27116704805492
"2997","Brown Mackie College-Akron",3,10956,3461,0.2414,0.5,-1.07125103562552
"3000","Franciscan University of Steubenville",2,14786,7693,0.7914,1,-0.263583522870862
"3004","Tiffin University",2,8607,2994,0.4449,1,-1.24769611148573
"3005","University of Toledo",1,10857,12241,0.4953,0.5862,-0.183525136281042
"3016","Ursuline College",2,17430,11842,0.4932,1,-1.02757502027575
"3019","Walsh University",2,12797,7468,0.5759,0.3333,0.421253689876715
"3025","Wittenberg University",2,13947,10139,0.7361,0.625,0.150930580084228
"3026","The College of Wooster",2,17476,13239,0.7892,0.7333,0.0708312214901167
"3027","Wright State University-Main Campus",1,9474,9158,0.4464,0.52,-0.164874551971326
"3029","Xavier University",2,16573,10076,0.7405,0.68,0.0817015530047265
"3030","ITT Technical Institute-Youngstown",3,17557,3112,0.4536,0.5,-0.102292768959436
"3031","Youngstown State University",1,7788,7275,0.38,0.5161,-0.358157894736842
"3035","Southern Nazarene University",2,12732,8624,0.5204,1,-0.921598770176787
"3038","Cameron University",1,4331,7292,0.2545,0.3684,-0.4475442043222
"3041","University of Central Oklahoma",1,7537,8494,0.3988,0.4878,-0.223169508525577
"3053","Spartan College of Aeronautics and Technology",3,19710,7156,0.5097,0.3889,0.237002158132235
"3054","Northeastern State University",1,4135,7917,0.3327,0.0769,0.768860835587617
"3060","Oklahoma Christian University",2,8657,7261,0.513,0.4545,0.114035087719298
"3063","Oklahoma State University-Main Campus",1,11033,8602,0.6245,0.6667,-0.0675740592473978
"3065","Oklahoma Baptist University",2,9773,6153,0.5421,1,-0.844678103670909
"3067","Oklahoma City University",2,16782,12219,0.6245,0.6667,-0.0675740592473978
"3068","University of Oklahoma-Norman Campus",1,11150,12188,0.6862,0.7837,-0.142086855144273
"3071","Oral Roberts University",2,12600,8754,0.5634,0.75,-0.331203407880724
"3074","Rogers State University",1,3969,5538,0.225,0.125,0.444444444444444
"3078","University of Science and Arts of Oklahoma",1,2936,7758,0.4789,0.5,-0.0440593025683859
"3081","Southeastern Oklahoma State University",1,4408,7447,0.2804,1,-2.56633380884451
"3083","Southwestern Oklahoma State University",1,4283,8087,0.3605,0.5455,-0.513176144244105
"3086","University of Tulsa",2,20416,15982,0.7261,0.7619,-0.049304503511913
"3095","The Art Institute of Portland",3,14471,5781,0.2748,0.375,-0.364628820960699
"3104","Concordia University-Portland",2,12091,2545,0.5833,0.2857,0.510200582890451
"3107","Eastern Oregon University",1,5215,7027,0.3439,0.3077,0.105263157894737
"3110","George Fox University",2,16009,8930,0.6873,0.5,0.27251564091372
"3114","Lewis & Clark College",2,24037,15866,0.8068,0.8148,-0.00991571641051067
"3115","Linfield College-McMinnville Campus",2,20682,13440,0.707,0.6111,0.135643564356436
"3121","Mount Angel Seminary",2,26488,21005,1,1,0
"3123","Multnomah University",2,11417,5142,0.5313,0.75,-0.411631846414455
"3126","Northwest Christian University",2,8288,4694,0.697,0.3333,0.52180774748924
"3128","Oregon Institute of Technology",1,7177,9764,0.4449,0.6,-0.348617666891436
"3130","Oregon State University",1,10540,10914,0.6501,0.6703,-0.0310721427472696
"3131","University of Oregon",1,15185,12386,0.6948,0.7218,-0.038860103626943
"3133","Pacific University",2,24217,12254,0.5749,0.6557,-0.140546181944686
"3140","Portland State University",1,8488,8454,0.3951,0.4886,-0.236648949633004
"3141","University of Portland",2,20125,10653,0.8049,0.8191,-0.0176419430985217
"3142","Reed College",2,28527,22586,0.7988,0.8261,-0.0341762643965949
"3145","Pioneer Pacific College",3,6400,3929,0.5822,0.4286,0.263826863620749
"3147","Southern Oregon University",1,6352,8340,0.4081,0.381,0.0664052928203872
"3151","Warner Pacific College",2,16328,10807,0.434,1,-1.30414746543779
"3152","Corban University",2,13000,5702,0.5536,0.75,-0.354768786127168
"3156","Willamette University",2,20372,13307,0.798,0.7692,0.0360902255639098
"3157","Western Oregon University",1,6513,8300,0.4772,0.3778,0.208298407376362
"3164","Albright College",2,14946,9556,0.6023,0.7273,-0.207537771874481
"3167","Allegheny College",2,19492,12779,0.8067,0.8,0.00830544192388735
"3169","DeSales University",2,15995,8954,0.7151,0.3333,0.533911341071179
"3171","Alvernia University",2,17408,6818,0.5502,0.6,-0.0905125408942202
"3174","The Art Institutes of York-PA",3,15128,7108,0.6078,1,-0.645278051990786
"3175","The Art Institute of Philadelphia",3,15887,5998,0.4549,0.5238,-0.151461859749395
"3177","The Art Institute of Pittsburgh",3,14110,5790,0.3362,0.5455,-0.622546103509816
"3181","Arcadia University",2,13828,7453,0.6854,0.6087,0.111905456667639
"3184","Bloomsburg University of Pennsylvania",1,7837,8464,0.6844,0.6923,-0.0115429573348919
"3186","Bryn Mawr College",2,21894,27370,0.8273,0.825,0.00278012812764424
"3187","Bucknell University",2,31788,20198,0.8923,0.8974,-0.00571556651350442
"3192","Cabrini University",2,13980,7826,0.5358,0.5,0.0668159761104891
"3193","California University of Pennsylvania",1,7890,7490,0.5894,0.2,0.660671869697998
"3195","Carlow University",2,16311,7288,0.634,0.8333,-0.314353312302839
"3196","Carnegie Mellon University",2,36119,31807,0.8991,0.9154,-0.0181292403514626
"3197","Cedar Crest College",2,17643,9713,0.6923,0.6667,0.0369781886465406
"3199","Chatham University",2,17352,8495,0.5673,0.75,-0.322051824431518
"3200","Chestnut Hill College",2,15066,7351,0.4336,1,-1.30627306273063
"3204","Clarion University of Pennsylvania",1,7355,7999,0.5326,0.2857,0.463574915508825
"3207","Curtis Institute of Music",2,3971,52148,0.7778,0.75,0.0357418359475444
"3210","Delaware Valley University",2,17210,8734,0.6105,1,-0.638001638001638
"3211","Dickinson College",2,27496,18027,0.8458,0.76,0.101442421376212
"3214","Drexel University",2,23559,14939,0.688,0.6689,0.0277616279069766
"3217","Duquesne University",2,20602,10922,0.7937,0.625,0.212548821973038
"3218","East Stroudsburg University of Pennsylvania",1,9139,7383,0.5884,0.6667,-0.133072739632903
"3219","Eastern University",2,12762,8357,0.6696,0.625,0.0666069295101553
"3220","Edinboro University of Pennsylvania",1,6451,9407,0.4649,0.2222,0.522047752204775
"3221","Elizabethtown College",2,19788,13429,0.7177,0.6875,0.0420788630346942
"3239","Franklin and Marshall College",2,29020,19474,0.8939,0.8889,0.0055934668307417
"3240","Gannon University",2,16229,7759,0.6801,0.5,0.264813997941479
"3241","Geneva College",2,13862,8417,0.6686,0.375,0.439126533054143
"3242","Gettysburg College",2,29130,16497,0.8352,0.7,0.161877394636015
"3247","Gwynedd Mercy University",2,15815,8930,0.6197,0.8,-0.29094723253187
"3250","Haverford College",2,27250,28622,0.9573,0.92,0.0389637522197848
"3252","Holy Family University",2,16948,8916,0.5942,0.5652,0.0488051161225175
"3255","Immaculata University",2,12435,5331,0.6453,0.5,0.225166589183326
"3256","Indiana University of Pennsylvania-Main Campus",1,8048,9021,0.5791,0.3902,0.32619582110171
"3261","Juniata College",2,17342,10689,0.7861,0.8125,-0.0335835135478946
"3262","Keystone College",2,11155,6411,0.6242,0.6667,-0.0680871515539891
"3263","King's College",2,16008,9051,0.6281,0.5833,0.0713262219391816
"3265","Kutztown University of Pennsylvania",1,7538,8776,0.5781,0.3478,0.398373983739837
"3266","La Roche College",2,15588,6178,0.4692,1,-1.13128729752771
"3267","La Salle University",2,17325,9274,0.7007,0.6154,0.121735407449693
"3269","Lafayette College",2,27378,21109,0.9217,0.9286,-0.0074861668655745
"3275","Lebanon Valley College",2,18136,10409,0.7649,0.75,0.0194796705451693
"3278","Lehigh University",2,26103,20469,0.9004,0.8667,0.0374278098622834
"3283","Lock Haven University",1,6927,7851,0.4858,0.125,0.742692466035406
"3290","Mansfield University of Pennsylvania",1,6375,9456,0.5291,0.4,0.243999243999244
"3291","Marywood University",2,15219,9623,0.7053,0.2857,0.59492414575358
"3294","Mercyhurst University",2,13905,10549,0.7132,0.25,0.649467190128996
"3295","Messiah College",2,17157,10514,0.812,0.7273,0.104310344827586
"3297","Millersville University of Pennsylvania",1,7616,8254,0.6877,0.6,0.127526537734477
"3301","Moravian College",2,17587,11700,0.6928,0.6667,0.0376732101616628
"3303","Muhlenberg College",2,22612,14588,0.8561,0.9474,-0.10664641981077
"3305","Neumann University",2,18006,5736,0.6118,0.4444,0.273618829682903
"3313","Pennsylvania State University-Penn State Erie-Behrend College",1,7272,5366,0.7117,0.6786,0.0465083602641563
